X1,Y1,X2,Y2,X,Y,Diff,Distance,TriggerStatusActual,TriggerStatusObserved
166,253,145,181,-21,-72,5625,75,FALSE,FALSE
167,253,144,182,-23,-71,5570,74.63243263,FALSE,FALSE
166,252,143,182,-23,-70,5429,73.68174808,FALSE,FALSE
166,252,144,180,-22,-72,5668,75.2861209,FALSE,FALSE
167,254,145,180,-22,-74,5960,77.20103626,FALSE,FALSE
167,254,145,181,-22,-73,5813,76.24303247,FALSE,FALSE
167,254,145,181,-22,-73,5813,76.24303247,FALSE,FALSE
167,253,145,180,-22,-73,5813,76.24303247,FALSE,FALSE
167,253,145,180,-22,-73,5813,76.24303247,FALSE,FALSE
167,253,144,179,-23,-74,6005,77.49193506,FALSE,FALSE
167,253,145,180,-22,-73,5813,76.24303247,FALSE,FALSE
168,253,145,179,-23,-74,6005,77.49193506,FALSE,FALSE
166,254,145,180,-21,-74,5917,76.92203845,FALSE,FALSE
166,253,144,180,-22,-73,5813,76.24303247,FALSE,FALSE
166,254,145,179,-21,-75,6066,77.88452991,FALSE,FALSE
166,254,146,179,-20,-75,6025,77.62087348,FALSE,FALSE
161,238,143,167,-18,-71,5365,73.24616031,FALSE,FALSE
141,243,135,223,-6,-20,436,20.88061302,FALSE,FALSE
143,245,131,230,-12,-15,369,19.20937271,FALSE,FALSE
144,240,133,223,-11,-17,410,20.24845673,FALSE,FALSE
143,240,133,226,-10,-14,296,17.20465053,FALSE,FALSE
154,242,143,205,-11,-37,1490,38.60051813,FALSE,FALSE
154,243,142,205,-12,-38,1588,39.84971769,FALSE,FALSE
148,241,138,220,-10,-21,541,23.2594067,FALSE,FALSE
160,249,140,192,-20,-57,3649,60.40695324,FALSE,TRUE
158,246,142,190,-16,-56,3392,58.24087911,FALSE,TRUE
163,251,143,185,-20,-66,4756,68.9637586,FALSE,TRUE
164,251,143,186,-21,-65,4666,68.30812543,FALSE,TRUE
165,250,145,187,-20,-63,4369,66.09841148,FALSE,TRUE
166,251,144,188,-22,-63,4453,66.73080248,FALSE,TRUE
164,250,143,185,-21,-65,4666,68.30812543,FALSE,TRUE
165,250,144,184,-21,-66,4797,69.26037828,FALSE,FALSE
167,251,145,182,-22,-69,5245,72.42237223,FALSE,FALSE
168,250,145,184,-23,-66,4885,69.89277502,FALSE,FALSE
168,250,145,183,-23,-67,5018,70.83784299,FALSE,FALSE
168,251,144,184,-24,-67,5065,71.16881339,FALSE,FALSE
168,252,144,184,-24,-68,5200,72.11102551,FALSE,FALSE
169,252,144,181,-25,-71,5666,75.27283707,FALSE,FALSE
169,252,144,182,-25,-70,5525,74.33034374,FALSE,FALSE
170,251,145,181,-25,-70,5525,74.33034374,FALSE,FALSE
170,252,144,183,-26,-69,5437,73.73601562,FALSE,FALSE
169,253,144,183,-25,-70,5525,74.33034374,FALSE,FALSE
170,254,144,183,-26,-71,5717,75.61084578,FALSE,FALSE
169,254,143,181,-26,-73,6005,77.49193506,FALSE,FALSE
169,254,143,182,-26,-72,5860,76.55063684,FALSE,FALSE
169,254,145,181,-24,-73,5905,76.84399781,FALSE,FALSE
169,253,144,180,-25,-73,5954,77.1621669,FALSE,FALSE
169,252,144,180,-25,-72,5809,76.21679605,FALSE,FALSE
169,253,144,179,-25,-74,6101,78.10889834,FALSE,FALSE
168,252,145,181,-23,-71,5570,74.63243263,FALSE,FALSE
168,252,146,181,-22,-71,5525,74.33034374,FALSE,FALSE
156,231,141,176,-15,-55,3250,57.00877125,FALSE,FALSE
157,231,139,168,-18,-63,4293,65.520989,FALSE,FALSE
